iter	F1	Logloss
0	0.5924050633	0.4903547846
1	0.5888324873	0.366158898
2	0.6295399516	0.2940423931
3	0.6295399516	0.2490921848
4	0.6295399516	0.2212099843
5	0.6295399516	0.2041144032
6	0.6295399516	0.1917431886
7	0.6328502415	0.182718273
8	0.6361445783	0.1755236226
9	0.6378896882	0.1704446773
10	0.6396181384	0.1669370733
11	0.6443914081	0.1639442407
12	0.6361445783	0.1622075117
13	0.6459330144	0.1587462135
14	0.6508313539	0.156260281
15	0.6508313539	0.154870584
16	0.6523809524	0.1527079735
17	0.6507177033	0.1512454754
18	0.6650831354	0.1484622617
19	0.6698113208	0.1455496326
20	0.6698113208	0.145027534
21	0.6698113208	0.1448362014
22	0.6666666667	0.1431275398
23	0.6729411765	0.1410270409
24	0.6729411765	0.1408896653
25	0.6713947991	0.1390372427
26	0.6713947991	0.1388532964
27	0.6729411765	0.136171668
28	0.6729411765	0.1356548395
29	0.6729411765	0.1350368094
30	0.6806526807	0.1329165653
31	0.6853146853	0.1321962905
32	0.688372093	0.1319350907
33	0.6898148148	0.1303881229
34	0.6928406467	0.1294005309
35	0.6912442396	0.1281562924
36	0.6912442396	0.1262678189
37	0.6942528736	0.1251597565
38	0.6942528736	0.1250259405
39	0.6942528736	0.1241356964
40	0.700228833	0.1229595313
41	0.7034482759	0.1217914924
42	0.7018348624	0.1203008229
43	0.704805492	0.118592125
44	0.7064220183	0.1175111941
45	0.7064220183	0.1167317136
46	0.704805492	0.1157970897
47	0.7077625571	0.1153305465
48	0.709382151	0.1145263602
49	0.7181818182	0.1135647441
50	0.7181818182	0.1132166838
51	0.7239819005	0.1125164853
52	0.7252252252	0.1122446149
53	0.7382550336	0.1116001394
54	0.735426009	0.1096018944
55	0.7382550336	0.1094704227
56	0.7410714286	0.1089462373
57	0.7410714286	0.1083295774
58	0.7382550336	0.1073786575
59	0.7382550336	0.1063036908
60	0.7382550336	0.1055357658
61	0.7438752784	0.1035444737
62	0.7438752784	0.1026381986
63	0.7455357143	0.1011174721
64	0.7511111111	0.1008478772
65	0.7483296214	0.09998223323
66	0.7511111111	0.09904669401
67	0.7572383073	0.09796361463
68	0.7654867257	0.09768066821
69	0.7709251101	0.09631438121
70	0.7753303965	0.0956749717
71	0.7753303965	0.09564301136
72	0.7753303965	0.09410948632
73	0.778021978	0.09348207332
74	0.778021978	0.09176874504
75	0.778021978	0.0904959676
76	0.778021978	0.09021876648
77	0.778021978	0.08938124235
78	0.778021978	0.08900727838
79	0.7807017544	0.0884007645
80	0.7807017544	0.08756712448
81	0.7807017544	0.08661177471
82	0.7860262009	0.0861527976
83	0.7860262009	0.08579993066
84	0.7860262009	0.0856091137
85	0.7903930131	0.08488831823
86	0.7903930131	0.08388091171
87	0.7903930131	0.08342963848
88	0.7903930131	0.08341118915
89	0.7903930131	0.08287584147
90	0.7903930131	0.08213733379
91	0.7903930131	0.0809596524
92	0.7930283224	0.08012808363
93	0.7930283224	0.07947253507
94	0.7956521739	0.07870586037
95	0.7982646421	0.07820998942
96	0.8008658009	0.07754609685
97	0.8034557235	0.07738849548
98	0.8034557235	0.07655077265
99	0.8086021505	0.07610366271
100	0.8086021505	0.07609014695
101	0.8111587983	0.07479329668
102	0.8162393162	0.07402994176
103	0.8162393162	0.07356472603
104	0.8111587983	0.07317125033
105	0.8137044968	0.07188665024
106	0.8137044968	0.07074527333
107	0.8162393162	0.07037241328
108	0.8187633262	0.06926995676
109	0.8262711864	0.06855792254
110	0.8262711864	0.06798578786
111	0.8287526427	0.06689466394
112	0.8312236287	0.0664661965
113	0.8361344538	0.06547894638
114	0.8434237996	0.06508778023
115	0.8434237996	0.06465047434
116	0.8434237996	0.06430938097
117	0.8482328482	0.06338464649
118	0.8482328482	0.06317269351
119	0.8553719008	0.06226418685
120	0.8577319588	0.0612134382
121	0.8577319588	0.06031075919
122	0.8600823045	0.05997150503
123	0.8600823045	0.05933212732
124	0.8624229979	0.05859675507
125	0.8624229979	0.05858523247
126	0.8624229979	0.05837171557
127	0.8600823045	0.05812285508
128	0.8600823045	0.05811309835
129	0.8670756646	0.0576469747
130	0.8693877551	0.05704584024
131	0.8693877551	0.05634377846
132	0.8739837398	0.05577116954
133	0.8785425101	0.05493720709
134	0.8808080808	0.0544877941
135	0.8830645161	0.05392160634
136	0.8830645161	0.05344426617
137	0.8830645161	0.05343499739
138	0.8848484848	0.05280448738
139	0.8848484848	0.05229815288
